Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2018);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Publisher;Coverage;Categories
1;39139;"International Organization";journal;"15315088, 00208183";7,363;Q1;133;39;92;2723;546;89;5,31;69,82;United Kingdom;"Cambridge University Press";"1947-ongoing";"Law (Q1); Organizational Behavior and Human Resource Management (Q1); Political Science and International Relations (Q1); Sociology and Political Science (Q1)"
2;25835;"International Security";journal;"15314804, 01622889";5,167;Q1;97;26;95;1413;341;59;5,64;54,35;United States;"MIT Press";"1984, 1996-ongoing";"Law (Q1); Political Science and International Relations (Q1); Sociology and Political Science (Q1)"
3;19684;"Criminology";journal;"00111384";3,968;Q1;122;26;89;2596;499;86;4,56;99,85;United States;"Wiley-Blackwell";"1963-ongoing";"Law (Q1); Pathology and Forensic Medicine (Q1)"
4;19751;"Stanford Law Review";journal;"00389765";3,675;Q1;62;38;98;4256;166;70;2,13;112,00;United States;"Stanford Law Review";"1974-1976, 1978-1979, 1987-1994, 1996-ongoing";"Law (Q1); Medicine (miscellaneous) (Q1)"
5;20377;"Journal of Quantitative Criminology";journal;"07484518, 15737799";3,619;Q1;72;62;107;3750;546;99;4,56;60,48;Netherlands;"Kluwer Academic Publishers";"1985-ongoing";"Law (Q1); Pathology and Forensic Medicine (Q1)"
6;22856;"Yale Law Journal";journal;"00440094";3,574;Q1;70;50;135;2892;264;88;2,45;57,84;United States;"Yale Journal Co., Inc.";"1973-1975, 1977-1979, 1981, 1983, 1985-1991, 1994, 1996-ongoing";"Law (Q1)"
7;25733;"Journal of Criminal Justice";journal;"00472352";2,853;Q1;64;84;170;4690;815;164;4,65;55,83;United Kingdom;"Elsevier Ltd.";"1973-ongoing";"Applied Psychology (Q1); Law (Q1); Social Psychology (Q1); Sociology and Political Science (Q1)"
8;20388;"Justice Quarterly";journal;"07418825";2,804;Q1;77;82;159;5086;552;138;4,05;62,02;United Kingdom;"Taylor & Francis";"1984-ongoing";"Law (Q1); Pathology and Forensic Medicine (Q1)"
9;130146;"Journal of Experimental Criminology";journal;"15733750";2,799;Q1;41;38;91;1991;384;84;3,52;52,39;Germany;"Springer Verlag";"2005-ongoing";"Law (Q1)"
10;11600154701;"Police Quarterly";journal;"10986111";2,372;Q1;42;26;56;1686;185;56;3,97;64,85;United States;"SAGE Publications";"1998-ongoing";"Law (Q1); Social Sciences (miscellaneous) (Q1)"
11;21681;"University of Pennsylvania Law Review";journal;"00419907";2,183;Q1;53;37;127;3048;223;115;2,03;82,38;United States;"University of Pennsylvania Law Review";"1974, 1977-1978, 1986, 1989-1990, 1992-1993, 1996-ongoing";"Law (Q1)"
12;13143;"Columbia Law Review";journal;"00101958";2,173;Q1;60;53;144;2643;192;122;1,22;49,87;United States;"Columbia Law Review Association";"1973-1981, 1984, 1987-1988, 1990, 1992-ongoing";"Law (Q1)"
13;21629;"University of Chicago Law Review";journal;"00419494";2,139;Q1;50;41;145;4371;170;110;1,25;106,61;United States;"University of Chicago Press";"1977-1978, 1986, 1991-1992, 1995-ongoing";"Law (Q1)"
14;22132;"Virginia Law Review";journal;"00426601";1,991;Q1;49;29;113;2772;143;109;1,34;95,59;United States;"Virginia Law Review Association";"1967, 1974-1978, 1980, 1983-1985, 1987, 1990, 1992, 1995-ongoing";"Law (Q1)"
15;13600;"Georgetown Law Journal";journal;"00168092";1,961;Q1;42;32;104;3067;132;102;1,49;95,84;United States;"Georgetown University Law Center";"1973-1974, 1976-1977, 1979, 1981, 1983-1986, 1988, 1992, 1994-ongoing";"Law (Q1)"
16;16242;"Journal of Law, Economics, and Organization";journal;"14657341, 87566222";1,888;Q1;63;21;79;885;113;77;1,26;42,14;United Kingdom;"Oxford University Press";"1985-ongoing";"Economics and Econometrics (Q1); Law (Q1); Organizational Behavior and Human Resource Management (Q1)"
17;17545;"Law and Human Behavior";journal;"01477307, 1573661X";1,883;Q1;87;43;165;2441;556;163;2,97;56,77;United States;"American Psychological Association Inc.";"1977-ongoing";"Arts and Humanities (miscellaneous) (Q1); Law (Q1); Psychiatry and Mental Health (Q1); Psychology (miscellaneous) (Q1)"
18;23859;"Journal of Business Ethics";journal;"15730697, 01674544";1,860;Q1;147;679;1220;46856;4654;977;4,33;69,01;Netherlands;"Kluwer Academic Publishers";"1982-ongoing";"Arts and Humanities (miscellaneous) (Q1); Business and International Management (Q1); Business, Management and Accounting (miscellaneous) (Q1); Economics and Econometrics (Q1); Law (Q1)"
19;16220;"Journal of Law and Economics";journal;"15375285, 00222186";1,815;Q1;75;18;91;944;123;88;1,20;52,44;United States;"University of Chicago Press";"1978-1989, 1996-ongoing";"Economics and Econometrics (Q1); Law (Q1)"
20;19625;"Crime and Delinquency";journal;"00111287";1,811;Q1;65;114;187;6264;522;183;2,39;54,95;United States;"SAGE Publications";"1955-ongoing";"Law (Q1); Pathology and Forensic Medicine (Q1)"
21;5600155948;"European Law Journal";journal;"14680386, 13515993";1,786;Q1;48;32;126;1181;230;111;1,56;36,91;United Kingdom;"Blackwell Publishing Inc.";"1995, 2006, 2008-ongoing";"Law (Q1)"
22;14000156253;"Regulation and Governance";journal;"17485983, 17485991";1,774;Q1;35;64;82;4377;276;77;2,92;68,39;United Kingdom;"Blackwell Publishing Inc.";"2008-ongoing";"Law (Q1); Public Administration (Q1); Sociology and Political Science (Q1)"
23;18053;"New York University Law Review";journal;"00287881";1,769;Q1;46;23;138;1527;135;123;0,87;66,39;United States;"New York University School of Law";"1973-1976, 1979, 1985, 1987, 1991-1994, 1996-1999, 2001-ongoing";"Law (Q1)"
24;16269;"Journal of Legal Studies";journal;"15375366, 00472530";1,738;Q1;54;37;100;1181;132;97;1,42;31,92;United States;"University of Chicago Press";"1983, 1985, 1996-ongoing";"Law (Q1)"
25;29868;"California Law Review";journal;"00081221";1,735;Q1;48;48;90;5454;120;90;1,43;113,63;United States;"University of California Press";"1973, 1975, 1977-1979, 1982-1983, 1986-1988, 1990-1992, 1994, 1996-ongoing";"Law (Q1)"
26;16642;"Michigan Law Review";journal;"00262234";1,721;Q1;46;25;101;1481;97;80;1,60;59,24;United States;"Michigan Law Review Association";"1974-1980, 1982-1983, 1991, 1993-ongoing";"Law (Q1)"
27;18787;"Higher Education";journal;"00181560, 1573174X";1,681;Q1;80;170;330;9263;1124;320;3,49;54,49;Netherlands;"Kluwer Academic Publishers";"1972-ongoing";"Education (Q1); Law (Q1)"
