Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2018);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Publisher;Coverage;Categories
1;16036;"Administrative Science Quarterly";journal;"00018392";13,521;Q1;165;49;74;3657;609;62;8,73;74,63;United States;"Cornell University Press";"1975-1987, 1989-1990, 1993-1994, 1996-ongoing";"Arts and Humanities (miscellaneous) (Q1); Public Administration (Q1); Sociology and Political Science (Q1)"
2;15823;"Journal of Public Administration Research and Theory";journal;"14779803, 10531858";5,875;Q1;94;25;132;1906;724;130;4,06;76,24;United Kingdom;"Oxford University Press";"1991-ongoing";"Marketing (Q1); Public Administration (Q1); Sociology and Political Science (Q1)"
3;17167;"Public Administration Review";journal;"00333352, 15406210";4,120;Q1;115;103;419;4907;1275;238;4,65;47,64;United Kingdom;"Wiley-Blackwell";"1978-1983, 1985, 1988, 1996-ongoing";"Marketing (Q1); Public Administration (Q1); Sociology and Political Science (Q1)"
4;15806;"International Public Management Journal";journal;"10967494";2,915;Q1;37;65;83;3849;250;71;2,37;59,22;United Kingdom;"Taylor & Francis";"1998-ongoing";"Business and International Management (Q1); Public Administration (Q1)"
5;15821;"Journal of Policy Analysis and Management";journal;"02768739, 15206688";2,661;Q1;73;51;179;1744;429;129;2,61;34,20;United States;"John Wiley & Sons Inc.";"1981-ongoing";"Business, Management and Accounting (miscellaneous) (Q1); Public Administration (Q1); Sociology and Political Science (Q1)"
6;19878;"Journal of European Public Policy";journal;"14664429, 13501763";2,626;Q1;92;130;272;5904;1067;252;3,99;45,42;United Kingdom;"Routledge";"1994-ongoing";"Public Administration (Q1); Sociology and Political Science (Q1)"
7;19700170231;"Criminology & Public Policy";journal;"17459133, 15386473";2,523;Q1;24;66;208;2851;540;165;3,04;43,20;United Kingdom;"Blackwell Publishing";"2012-ongoing";"Literature and Literary Theory (Q1); Public Administration (Q1)"
8;17162;"Public Administration";journal;"14679299, 00333298";2,287;Q1;81;78;217;3932;731;212;2,72;50,41;United Kingdom;"Wiley-Blackwell";"1923-ongoing";"Public Administration (Q1); Sociology and Political Science (Q1)"
9;19088;"Governance";journal;"09521895, 14680491";2,201;Q1;67;52;115;3002;412;94;3,79;57,73;United Kingdom;"Blackwell Publishing Inc.";"1988-ongoing";"Marketing (Q1); Public Administration (Q1); Sociology and Political Science (Q1)"
10;16051;"American Review of Public Administration";journal;"02750740";2,080;Q1;47;78;130;5214;426;129;3,06;66,85;United States;"SAGE Publications";"1967-1983, 1987-ongoing";"Marketing (Q1); Public Administration (Q1); Sociology and Political Science (Q1)"
