Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2018);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Publisher;Coverage;Categories
1;16036;"Administrative Science Quarterly";journal;"00018392";13,521;Q1;165;49;74;3657;609;62;8,73;74,63;United States;"Cornell University Press";"1975-1987, 1989-1990, 1993-1994, 1996-ongoing";"Arts and Humanities (miscellaneous) (Q1); Public Administration (Q1); Sociology and Political Science (Q1)"
2;15555;"American Journal of Political Science";journal;"00925853, 15405907";9,602;Q1;150;72;205;3616;1424;196;5,05;50,22;United Kingdom;"Blackwell Publishing Inc.";"1982, 1986, 1996-ongoing";"Political Science and International Relations (Q1); Sociology and Political Science (Q1)"
3;39139;"International Organization";journal;"15315088, 00208183";7,363;Q1;133;39;92;2723;546;89;5,31;69,82;United Kingdom;"Cambridge University Press";"1947-ongoing";"Law (Q1); Organizational Behavior and Human Resource Management (Q1); Political Science and International Relations (Q1); Sociology and Political Science (Q1)"
4;11600153640;"Quarterly Journal of Political Science";journal;"15540634, 15540626";6,609;Q1;29;16;48;811;144;46;1,94;50,69;United States;"Now Publishers Inc.";"2006-ongoing";"Political Science and International Relations (Q1); Sociology and Political Science (Q1)"
5;15557;"American Political Science Review";journal;"15375943, 00030554";6,531;Q1;159;66;174;3573;859;157;4,46;54,14;United Kingdom;"Cambridge University Press";"1906-ongoing";"Political Science and International Relations (Q1); Sociology and Political Science (Q1)"
6;145558;"Political Analysis";journal;"10471987, 14764989";6,126;Q1;59;37;109;1065;368;102;2,75;28,78;United Kingdom;"Cambridge University Press";"1989-1993, 2004-ongoing";"Political Science and International Relations (Q1); Sociology and Political Science (Q1)"
7;15823;"Journal of Public Administration Research and Theory";journal;"14779803, 10531858";5,875;Q1;94;25;132;1906;724;130;4,06;76,24;United Kingdom;"Oxford University Press";"1991-ongoing";"Marketing (Q1); Public Administration (Q1); Sociology and Political Science (Q1)"
8;16929;"American Sociological Review";journal;"00031224";5,862;Q1;174;43;148;4434;1034;144;6,05;103,12;United States;"SAGE Publications";"1965-ongoing";"Sociology and Political Science (Q1)"
9;20333;"Journal of Politics";journal;"14682508, 00223816";5,266;Q1;105;133;279;5827;990;277;3,07;43,81;United Kingdom;"University of Chicago Press";"1968, 1977, 1980-1981, 1984-1986, 1991, 1996-ongoing";"Sociology and Political Science (Q1)"
10;25835;"International Security";journal;"15314804, 01622889";5,167;Q1;97;26;95;1413;341;59;5,64;54,35;United States;"MIT Press";"1984, 1996-ongoing";"Law (Q1); Political Science and International Relations (Q1); Sociology and Political Science (Q1)"
11;30039;"Journal of Personality and Social Psychology";journal;"00223514";5,029;Q1;328;152;349;9485;2569;324;6,67;62,40;United States;"American Psychological Association";"1965-ongoing";"Social Psychology (Q1); Sociology and Political Science (Q1)"
12;25725;"World Politics";journal;"00438871, 10863338";5,028;Q1;99;17;58;1522;238;55;3,09;89,53;United Kingdom;"Cambridge University Press";"1948-ongoing";"Political Science and International Relations (Q1); Sociology and Political Science (Q1)"
13;16976;"Annual Review of Sociology";journal;"03600572, 15452115";4,934;Q1;151;25;70;3809;708;70;5,60;152,36;United States;"Annual Reviews Inc.";"1975, 1977, 1980-1981, 1983-ongoing";"Sociology and Political Science (Q1)"
14;13447;"Comparative Political Studies";journal;"00104140";4,855;Q1;95;79;192;5052;814;187;3,67;63,95;United States;"SAGE Publications";"1968-ongoing";"Sociology and Political Science (Q1)"
15;27663;"Journal of Conflict Resolution";journal;"00220027";4,341;Q1;94;99;187;6388;684;184;2,90;64,53;United States;"SAGE Publications";"1957-ongoing";"Business, Management and Accounting (miscellaneous) (Q1); Political Science and International Relations (Q1); Sociology and Political Science (Q1)"
16;13358;"Sociology of Education";journal;"00380407";4,334;Q1;82;16;59;1082;278;52;4,57;67,63;United States;"SAGE Publications";"1980, 1983, 1992, 1996-ongoing";"Education (Q1); Sociology and Political Science (Q1)"
17;16926;"American Journal of Sociology";journal;"00029602, 15375390";4,327;Q1;160;35;123;3707;640;109;5,09;105,91;United States;"University of Chicago Press";"1948-1950, 1964-ongoing";"Sociology and Political Science (Q1)"
